Freshly Brewed Iced Tea (X-Large),1 serving,10,0g,2g,0g
Freshly Brewed Coffee,1 serving,5,0g,1g,0g
Freshly Brewed Iced Tea,1 serving,0,0g,0g,0g
"Freshly Brewed Black, Green or Tropical Iced Teas",1 serving,0,0g,0g,0g
Freshly Brewed Coffee,1 serving,5,0g,0g,0g
Freshly Brewed Gold Peak Iced Tea,1 serving,0,0g,0g,0g
Freshly Brewed Hot Tea,1 serving,5,0g,1g,0g
Fresh-Cut Fruit,1 serving,80,0g,19g,1g
Freshly Frozen Berry Medley,1 cup (140 g),70,0.5g,17g,1g
Freshii Green Smoothie 24 oz,1 serving (24 oz),500,15g,87g,11g
Freshly Frozen Blueberries,1 cup (140 g),80,1g,17g,1g
Freshly Frozen Sliced Peaches,1 cup (140 g),50,0g,13g,1g
Freshly Crumbled Blue Cheese,1/4 cup (28 g),100,8g,1g,6g
Freshly Cracked,1 serving,180,13g,2g,15g
Freshly Frozen Whole Green Beans,3/4 cup (83 g),30,0g,5g,1g
Freshly Made Coleslaw,1 serving,170,13g,14g,1g
Freshly Grated Parmesan Cheese,1 tbsp (8 g),30,2g,0g,3g
Freshly Popped Rice Cakes,1 rice cake (5 g),15,0g,4g,0g
"Freshly Shaved Parmesan, Romano & Asiago Cheese",1 tbsp (5 g),20,1.5g,0g,1g
Freshly Shredded Parmesan Cheese,1 oz (28 g),110,8g,1g,9g
Freshly Made Coleslaw - Family-Size Sides,1 serving,690,51g,56g,4g
Freshly Shredded Parmesan Cheese,1/4 cup (28 g),110,8g,2g,9g
Freshly Squeezed Orange Juice,11 fl oz (325 ml),170,0g,39g,3g
Freshly Shredded Parmesan Cheese,1/4 cup (28 g),100,7g,1g,9g
Freshly Shredded Parmesan Cheese,1/4 cup (28 g),110,7g,0g,10g
Freshly Shaved Parmesan Cheese,1/4 cup (28 g),100,7g,1g,9g
Freshly Sprouted Wheat Flax & Chia Bread,1 slice (38 g),110,1.5g,18g,6g
Freshwater Eel Roll,1 package (273 g),493,16g,65g,20g
Freshly Squeezed Orange Juice,1 cup (240 ml),110,0g,26g,2g
Freshmints,1 piece (0.49 g),2,0g,0.5g,0g
Fresh-Squeezed Lemonade (12 oz),1 serving,126,0g,34g,0g
Freshly Squeezed Tangerine Juice,8 fl oz (240 ml),100,0g,24g,1g
Fresh-Steamed Broccoli,1 serving,60,3.5g,6g,2g
"Freshly Shredded 3 Cheese Italian (Parmesan, Asiago & Romano)",1 oz (28 g),100,7g,2g,8g
Freshly Shredded Parmesan Cheese,2 tbsp (28 g),110,6g,2g,9g
FriChik,2 pieces (90 g),140,8g,3g,12g
Fresno Fig Burger,1 burger (242 g),933,67g,37g,43g
Fresno Fog Split Pea Soup,1 1/2 cups prepared (357 g),190,1g,41g,12g
Fresqui Ricas Triguenas Tortillas De Trigo Integral,1 tortilla (42 g),130,5g,18g,4g
Friday Fish & Chips,1 serving,1230,65g,117g,46g
Fried Apples,1/2 cup (135 g),110,0g,29g,0g
Fried Apples,1/2 cup (122 g),80,0g,21g,0g
"Friday Fish & Chips with Hush Puppies, Fries, Coleslaw",1 serving,1640,97g,156g,37g
Fried Apple Turnover,1 serving (81 g),220,10g,31g,3g
Fried Apple Pie,1 pie (3.1 oz),220,9g,32g,3g
Fried Apple Pies,1 serving (84 g),255,15g,28g,2g
Fried Apple Pie,1 serving,170,9g,22g,1g
Fridays Original LIT Aka Long Island Tea,1 serving,220,0g,24g,0g
Fried Apples,2/3 cup,80,0g,20g,0g
Fried Apples - Family,1 serving,1030,13g,222g,3g
Fried Apples,1 serving,170,2g,37g,0g
Fried Apples - Family Meal Baskets,1 serving,1030,13g,222g,3g
Fried Apples - Family Meal Sides,1 serving,210,3g,45g,1g
Fried Apples,1 serving,170,2g,37g,1g
Fried Apples with Cinnamon,1/2 cup (130 g),75,0g,18g,0g
Fried Bean Curd Roll,5 pieces (60 g),490,51g,3g,4g
Fried Avocado,1 taco,367,21g,35g,13g
Fried Baja Breaded Fish Taco,1 taco (134 g),250,13g,27g,8g
Fried Apples with Cinnamon,1/2 cup (130 g),130,0g,32g,0g
Fried Baja Fish Tacos,1 serving,870,49g,76g,27g
Fried Brown Rice with Mushrooms,1 cup (140 g),250,5g,45g,5g
Fried Calamari,1 serving,190,11g,11g,12g
Fried Calamari,1 serving,87,2g,9g,10g
Fried Buffalo Chicken Sandwich,1 sandwich (521 g),609,14g,67g,50g
Fried Bowl,1 serving (2.4 oz),240,14g,24g,4g
Fried Calamari,4 oz (113 g),210,5g,26g,15g
Fried Breaded Fish,1 serving (57 g),90,5g,4g,8g
Fried Calamari,1 serving,900,58g,61g,35g
Fried Big Fish Sandwich with Tartar Sauce,1 serving,1220,79g,85g,46g
Fried Catfish,1 serving (85 g),180,10g,12g,10g
Fried Calamari Snack,1 serving (30 g),140,6g,14g,8g
Fried Calamari,1 serving,990,70g,55g,36g
Fried Calamari - Serves 2-4,1 serving,1520,105g,98g,44g
Fried Catfish,1 serving,590,46g,25g,20g
Fried Catfish,1 piece (47 g),119,5.9g,6.7g,9.8g
Fried Catfish - Family,1 serving,2930,228g,123g,98g
Fried Chicken,1 piece (3 oz),220,13g,8g,17g
Fried Catfish - 4 Piece,1 serving,1170,93g,45g,40g
Fried Catfish - 3 Piece,1 serving,990,82g,35g,30g
Fried Chicken (1 Tender),1 serving,57,2.23g,1.75g,7.08g
Fried Chicken,1 piece (84 g),300,24g,6g,15g
Fried Chicken,3 oz (90 g),212,12g,5g,20g
Fried Chicken,1 plate,360,16g,20g,33g
Fried Chicken & Biscuit,1 package (293 g),540,30g,49g,19g
Fried Chicken & Waffles Benedict,1 serving,1670,128g,96g,33g
Fried Cheese Sticks,1 serving,730,36g,65g,31g
Fried Cheese Sticks (Sides),1 serving,370,18g,33g,16g
Fried Chicken and Waffles,1 serving,954,31g,97g,68g
Fried Chicken Biscuit,1 biscuit,453,22g,42g,18g
Fried Chicken 2 Pcs All Breasts,1 serving,1100,54.5g,90g,64g
Fried Chicken and Waffles with Pancake and Waffle Syrup,1 serving,1297,31g,183g,68g
Fried Chicken & Waffles,1 serving,1190,61g,118g,44g
Fried Chicken 4 Pcs Our Choice,1 serving,1550,84.5g,102g,96g
Fried Chicken 2 Pc Our Choice,1 serving,890,46.5g,79g,40g
Fried Chicken 4 Pcs All Breasts,1 serving,1760,92.5g,114g,120g
Fried Chicken Breast,1 breast  (240 g),300,5g,7g,41g
Fried Chicken Breast,1 serving,330,19g,12g,28g
Fried Chicken Bites - Bowl Toppings,1 serving (4 oz),336,3.6g,28g,18g
Fried Chicken Breast,1  piece,670,36g,37g,48g
Fried Chicken Breast,1 breast,131,5.2g,1g,18.8g
Fried Chicken Breast,1 serving,410,26g,18g,27g
Fried Chicken Breast,1 breast (173 g),375,17g,7g,47g
Fried Chicken Breast,1 serving (148 g),370,15g,29g,29g
Fried Chicken Breast,1 breast (7 oz),435,17g,3g,62g
Fried Chicken Breast,1 piece (219 g),521,29.1g,17.5g,43.6g
Fried Chicken Buffalo Style Mac & Cheese Bowl,1 meal (326 g),590,26g,64g,25g
Fried Chicken Breast,1 serving (10 oz),510,16g,16g,39g
Fried Chicken Gizzard,3.5 oz (100 g),360,22g,21g,20g
Fried Chicken Club Salad,1 serving,1530,121g,58g,49g
Fried Chicken Grande Griller,1 serving,750,40g,75g,19g
Fried Chicken Family Order 10 Pcs Our Choice,1 serving,1258,62g,112g,64g
Fried Chicken Family Order 10 Pcs All Breasts,1 serving,1415,68g,120g,82g
Fried Chicken Family Order 15 Pcs All Breasts,1 serving,1495,69g,135g,84g
Fried Chicken Bowl with Loaded Mashed Potatoes,1 bowl (312 g),350,14g,38g,20g
Fried Chicken Family Order 15 Pcs Our Choice,1 serving,1355,64g,127g,68g
Fried Chicken Liver,3.5 oz (100 g),400,25g,23g,19g
Fried Chicken Leg,1 leg,190,13g,11g,16g
Fried Chicken Leg,3.5 oz (100 g),220,13g,8g,20g
Fried Chicken Meal,1 meal,440,26g,30g,22g
Fried Chicken Leg,1 leg (66 g),174,10g,6.7g,13.1g
Fried Chicken Leg,1 leg,120,4g,6g,24g
Fried Chicken Salad,1 salad,410,19g,41g,21g
Fried Chicken Salad,1 serving (37 oz),638,22.1g,71g,39.7g
Fried Chicken Plate,1 plate (598 g),1340,68g,110g,64g
Fried Chicken Mac & Cheese Bowl,1 meal (336 g),580,25g,64g,25g
Fried Chicken Olga,1 sandwich,920,54g,76g,32g
French Style Green Beans (No Salt Added),1/3 cup (121 g),15,0g,2g,1g
French Style Green Beans (No Salt Added),1/2 cup (120 g),20,0g,4g,1g
French Style Green Beans with Roasted Garlic,1/2 cup (121 g),25,0g,4g,1g
French Toast,2 pieces,295,1g,58g,12g
"French Style Green Beans with Onions, Red Peppers & Garlic",1/2 cup (121 g),15,0g,2g,1g
French Thick Sliced Bread,2 slices (50 g),140,1.5g,26g,5g
French Tarragon Chicken,1 breast with sauce,200,8g,6g,23g
French Swiss Cheese,1 oz (28 g),120,9g,0g,8g
French Toast,2 slices (114 g),260,5g,43g,10g
French Style Sliced Green Beans,1/2 cup (120 g),20,0g,4g,1g
French Style Vanilla Ice Cream,2/3 cup (89 g),180,9g,23g,3g
French Toast,1 tray  (131 g),220,5g,36g,9g
French Style Pistolettes,1 roll (33 g),90,1g,19g,4g
French Toast,1 slice,105,3g,15g,5g
French Toast,1 serving,348,3g,68g,13g
French Toast,1 serving,810,23g,126g,22g
French Sub Roll,1 roll (3.5 oz),250,2g,47g,10g
French Toast,1 slice (76 g),150,2.5g,26g,5g
French Toast,2 pieces,460,5g,53g,12g
French Toast,1 package  (151 g),280,8g,32g,19g
French Toast,1 serving (94 g),220,8g,30g,8g
French Toast,1 slice (44 g),140,2.5g,26g,4g
French Toast,1 serving,694,12g,127g,21g
French Toast,1 serving per container (78 g),290,6g,42g,20g
French Toast & Sausage Tornado,1 tornado,190,16g,23g,7g
French Toast,1 serving,720,21g,112g,18g
French Toast 2 Slices,1 serving,840,39g,95g,22g
French Toast - Signature Bagels,1 bagel (117 g),380,7g,70g,10g
French Toast (1 Piece),1 serving,260,6g,40g,10g
French Toast - Signature Bagels (Available at Licensed Locations),1 bagel (105 g),320,4.5g,60g,10g
French Toast - 3 Slices,1 serving (194 g),440,18g,51g,19g
French Toast Bagel,1 bagel (104 g),280,2.5g,54g,9g
French Toast Bagel,1 bagel (91 g),260,2.5g,54g,8g
French Toast 3 Slices,1 serving,1020,43g,122g,29g
French Toast and Sausage Tornados,1 serving (85 g),190,8g,22g,7g
French Toast Bagel,1 bagel (113 g),330,3g,65g,10g
French Toast Bagel,1 bagel (113 g),330,3g,65g,10g
French Toast & Sausage on A Stick,1 piece (71 g),250,15g,24g,5g
French Toast - Kids,1 serving,590,21g,87g,13g
French Toast Bagel,1 bagel,240,1.5g,50g,7g
French Toast Bagel,1 bagel (81 g),220,1.5g,45g,7g
French Toast Bagel,1 bagel  (81 g),200,1g,41g,7g
French Toast Bagels,1 bagel (81 g),200,1g,42g,7g
French Toast Bagel,1 bagel (85 g),250,1g,50g,10g
French Toast Bagel,1 bagel (104 g),280,2.5g,54g,9g
French Toast Bread,1 slice (37 g),100,1g,19g,3g
French Toast Bites,15 bites (110 g),330,16g,46g,5g
French Toast Bread,1 slice (42 g),120,3g,23g,3g
French Toast Bites,1 pouch (66 g),180,5g,29g,4g
French Toast Batter,1/3 cup (80 g),100,4.5g,8g,7g
French Toast Bagel,1 bagel (4.5 oz),430,8g,77g,12g
French Toast Bread,1 slice (45 g),100,0.5g,19g,3g
French Toast Bread,1 slice,110,1.5g,20g,3g
French Toast Bagel,1 piece,200,1g,42g,5g
French Toast Bagel,1 bagel (142 g),360,1g,79g,13g
French Toast Bread,2 slices (78 g),210,3.5g,38g,6g
French Toast Bread,1 slice  (39 g),120,2.5g,22g,3g
French Toast Bread,1 slice (27 g),45,2g,11g,5g
French Toast Bread,1 slice (32 g),80,1g,17g,2g
French Toast Breakfast Bake,1/2 cup (110 g),220,10g,23g,7g
French Toast Breakfast Sandwich,1 sandwich (122 g),200,8g,22g,12g
French Toast Cinnamon Swirl,2 slices (118 g),230,5g,36g,9g
French Toast Combo with Bacon,1 serving,710,35g,65g,33g
French Toast Casserole Bites,5 pieces (84 g),220,12g,20g,8g
French Toast English Muffin,1 muffin (61 g),140,0.5g,28g,4g
French Toast Crunch,1 cup (37 g),150,1.5g,32g,2g
French Toast Krunch Bar,1 bar (38 g),160,11g,13g,10g
French Toast Dips Entree,1 serving (186 g),620,19g,106g,9g
French Toast Combo with Sausage,1 serving,820,44g,66g,38g
French Toast Entree,1 serving,1100,40g,150g,30g
French Toast Entree with Berries,1 serving,1170,40g,170g,30g
French Toast Mini Muffins,4 muffins (112 g),410,20g,53g,5g
French Toast Platter,1 serving (294 g),570,27g,53g,31g
French Toast Sandwich,1 sandwich (232 g),660,37g,55g,25g
French Toast Platter with Bacon,1 serving,870,59g,53g,34g
French Toast Cinnamon Twist Bagel,1 bagel (85 g),230,2.5g,45g,7g
French Toast Dips - 5 Pieces,1 serving (184 g),540,19g,84g,9g
French Toast Platter with Sausage,1 serving,1210,91g,56g,43g
French Toast Sandwich,1 sandwich (173 g),480,33g,29g,18g
French Toast Sticks,5 sticks (110 g),340,16g,46g,6g
French Toast Slam,1 serving (9 oz),780,45g,71g,24g
French Toast Sticks,5 sticks (4 oz),330,15g,43g,5g
French Toast Sticks,1 serving,680,18g,120g,13g
French Toast Sticks,5 pieces (119 g),350,15g,46g,7g
French Toast Sticks,4 pieces (106 g),330,14g,46g,5g
French Toast Sticks,4 pieces,270,11g,39g,5g
French Toast Sticks,4 sticks (102 g),230,5g,41g,6g
French Toast Sticks,1 serving (128 g),350,10g,57g,7g
French Toast Sticks - 5 Pieces,1 serving,520,19g,79g,6g
French Toast Sticks - 3 Pieces,1 serving,350,12g,57g,4g
French Toast Sticks,4 sticks (110 g),330,16g,41g,10g
French Toast Sticks,3 sticks,250,11g,29g,4g
French Toast Sticks Cinnamon,5 sticks (120 g),360,16g,47g,6g
French Toast Stuffed Pastries - Sweet Cream Cheese,1 pastry (60 g),240,12g,29g,4g
French Toast Sticks Original,5 sticks (110 g),320,16g,42g,5g
French Toast Sticks Cinnamon (106g),4 sticks (106 g),330,14g,45g,6g
French Toast Sticks,5 sticks  (110 g),330,15g,44g,5g
French Toast Sticks - Wheat Free Gluten Free Recipe,4 pieces (56 g),170,6g,27g,2g
French Toast Sticks Without Syrup (4 Pc.),1 serving,480,25g,54g,8g
French Toast Waffle,1 waffle (45 g),140,6g,19g,3g
French Toast Taquitos,1 taquito,270,16g,23g,7g
French Toast Swirl,1 slice (33 g),100,2g,17g,3g
French Toast with Butter and Two Eggs,1 serving,820,57g,55g,26g
French Truffles,4 pieces (32 g),200,15g,13g,2g
French Type Goat Milk Cheese,1 oz (28 g),70,6g,1g,4g
French Twirl,1 twirl (57 g),310,20g,29g,2g
French Twirls Vanilla,1 twirl (57 g),310,20g,29g,2g
"French Toast with Sausage, Egg & Cheese",1 sandwich  (167 g),440,28g,27g,17g
French Vanilla,1 bottle (12 oz),80,3.5g,3g,10g
French Vanilla,1 tsp (3 g),15,1g,2g,0g
French Vanilla Almond Granola,1/2 cup (55 g),220,7g,36g,5g
French Toast Whole Grain,2 slices (118 g),190,4.5g,32g,8g
French Twist Sandwich,1 serving,254,9g,27g,13g
French Vanilla & Chocolate Hot Cocoa Mix,1 serving (35 g),140,3g,26g,3g
French Vanilla Almond,1 container (61 g),270,8g,41g,10g
French Vanilla & Fruit Parfait,1 serving,270,12g,35g,3g
French Vanilla Almond Granola,1/2 cup (60 g),250,8g,40g,5g
French Vanilla Almond Crunch Granola,2/3 cup (55 g),240,7g,40g,5g
French Vanilla Almond Granola,3/4 cup (55 g),250,8g,40g,5g
French Vanilla Cafe,1 1/3 tbsp (14 g),60,2.5g,10g,0g
French Vanilla Almond Granola,1/2 cup (53 g),220,6g,37g,5g
French Vanilla Almond Granola,1/2 cup (55 g),230,6g,39g,6g
French Vanilla Cappuccino,1 serving (28.4 g),110,2g,24g,1g
French Vanilla Almond Milk Creamer,1 tbsp (15 ml),15,0g,3g,0g
French Vanilla Cappuccino,16 fl oz,160,6g,26g,3g
French Vanilla Cappuccino,3 tbsp (33 g),140,4g,26g,1g
French Vanilla Cappuccino,1 serving (12 oz),250,8g,40g,3g
French Vanilla Almond Granola,1/3 cup (32 g),140,5g,23g,3g
French Vanilla Cappuccino,1 cup (8 oz),160,4.5g,29g,1g
French Vanilla Almond Granola,2/3 cup (63 g),280,9g,45g,5g
French Vanilla Cappuccino,3 tbsp (27 g),110,3g,21g,2g
French Vanilla Cappuccino,1 k-cup (15 g),70,4.5g,9g,0g
French Vanilla Cappuccino,1 k-cup (15 g),80,4.5g,9g,0g
French Vanilla Cappuccino,1 cup (15 g),80,4.5g,9g,0g
French Vanilla Cappuccino,3 tsp,70,3g,10g,0g
French Vanilla Cappuccino - Large,1 serving,340,8g,58g,9g
French Vanilla Cappuccino - Large,1 serving (24 oz),630,13g,126g,2g
French Vanilla Cappuccino,1 cup (15 g),70,4.5g,9g,0g
French Vanilla Cappuccino - Medium,1 serving (22 oz),580,12g,116g,2g
French Vanilla Cappuccino - Medium,1 serving,260,6g,47g,7g
French Vanilla Cappuccino - Small,1 serving,210,4.5g,37g,5g
French Vanilla Cappuccino (12 oz),12 fl oz (287 g),220,7g,38g,1g
French Vanilla Cappuccino Beverage Mix,1 scoop (38 g),170,4.5g,31g,1g
French Vanilla Cappuccino (20 oz),1 serving (20 oz),350,11g,60g,2g
French Vanilla Cappuccino Coffee,1 serving (28 g),120,3g,22g,1g
French Vanilla Coffee,1 packet,5,0g,1g,0g
French Vanilla Cappuccino Drink Mix,1 k-cup (15 g),80,4.5g,9g,0g
Fiber Gummy,3 gummies,15,0g,9g,0g
Fiber Gummies,2 gummies (2 g),10,0g,7g,0g
Fiber Gummy Rings,2 gummies,20,0g,8g,0g
Fiber Now Chewy Bars - Oats & Chocolate,1 bar (40 g),160,3.5g,30g,2g
Fiber Gummy Supplement,2 gummies,10,0g,5g,0g
Fiber Now CHewy Bars - Oats & Apple Cinnamon,1 bar (40 g),130,2g,31g,2g
Fiber Now Chewy Bars - Chocolate,1 bar (23 g),140,4g,30g,2g
Fiber Now Chocolate Caramel & Pretzel,1 bar (23 g),90,2.5g,17g,1g
Fiber Mix,1 stick pack (10.5 g),15,0g,9g,0g
Fiber Gummies,3 gummies,15,0g,7g,0g
Fiber Gummy Supplement,2 gummies,10,0g,5g,0g
Fiber Now Lemon Bar,1 bar (25 g),70,2.5g,18g,2g
Fiber Now Chocolate Fudge Brownie,1 bar (25 g),70,2g,19g,1g
Fiber Now Cinnamon Coffee Cake,1 bar (25 g),70,2g,19g,1g
Fiber Plus Powder,1 scoop (15 g),60,1g,12g,0.5g
Fiber Powder,2 tsp (3.5 g),15,0g,4g,0g
Fiber Shake,1 scoop (10.7 g),50,2g,6g,0g
Fiber Select Gummies,2 gummies,25,0g,6g,0g
Fiber Now Chocolate Peanut Butter,1 bar  (23 g),90,3g,16g,2g
Fiber Rich Whole Wheat Tortillas,1 torilla (28 g),45,1.5g,10g,4g
Fiber Smart Clear Fiber,1 tsp (3.3 g),5,0g,3.2g,0g
Fiber Plus Whole Wheat Bread,1 slice (43 g),70,0g,18g,4g
Fiber Supplement,2 tsp (4 g),15,0g,4g,0g
Fiber Powder,2 tsp (3.5 g),15,0g,4g,0g
Fiber Supplement,2 tsp (3.5 g),15,0g,4g,0g
Fiber Powder,2 teaspoon (4 g),15,0g,4g,0g
Fiber Snacks - Peanut Chocolate Chew,1 bar (35 g),150,6g,19g,6g
Fiber Supplement,1 scoop (7 g),15,0g,7g,0g
Fiber Snacks - Honey Almond Crisp,1 bar (35 g),140,5g,20g,6g
Fiber Supplement,1 heaping tsp (5.8 g),25,0g,6g,0g
Fiber Powder,1 stick pack,15,0g,4g,0g
Fiber Supplement Powder,2 tsp (3.5 g),15,0g,4g,0g
Fiber Supplement - Berry Burst,1 rounded tsp (5.8 g),15,0g,5g,0g
Fiber Syrup Gold,2 tbsp (40 g),70,0g,31g,0g
Fiber-3,2 1/2 tbsp (17 g),80,4g,8g,3g
Fiber Therapy Capsules,6 capsules (3.12 g),10,0g,3g,0g
Fiber Therapy,1 rounded tsp (12 g),40,0g,12g,0g
Fiber Supplement Plus Calcium,1 tbsp (8.8 g),30,0g,7g,0g
Fiber Sweep,1 packet (14 g),60,3g,8g,0g
Fiber Well Sugar Free Gummies,2 gummies,10,0g,6g,0g
Fiber Way Cereal,1/2 cup (30 g),60,1g,25g,2g
Fiber Well Fit,2 gummies,10,0g,6g,0g
Fiberful Dried Fruit Bar - Apricot,1 bar (20 g),60,0g,14g,1g
Fiber Therapy,1 rounded tbsp (12 g),25,0g,6g,0g
Fiber Therapy Orange Flavor,1 rounded tbsp (12 g),45,0g,12g,0g
Fiberful Dried Fruit Bar - Fruit & Veggie,1 bat (20 g),70,1g,15g,0g
Fiber Whole Grain Crispbread,2 slices (20 g),60,1g,14g,3g
Fibermend,1 Scoop (11 g),45,1g,9g,0g
Fiberful Dried Fruit Bar - Apple Blueberry,1 bar (20 g),60,0g,14g,1g
Fiberlyze,1 scoop (12 g),45,0g,9.5g,0g
Fiberful Dried Fruit Bar - Mixed Berry,1 bar (20 g),60,0g,14g,1g
FiberPro,1 scoop (6 g),20,0g,6g,0g
Fiber-sure Fiber Supplement,1 heaping tsp (5.8 g),25,0g,6g,0g
FiberPlus Antioxidants Chewy Bars - Chocolate Chip,1 bar (36 g),120,4g,26g,2g
FiberMode,1 scoop  (6.6 g),25,0g,6g,0g
Fiberwise Blueberry Cobbler Bar,1 bar (47 g),150,3g,35g,2g
FiberWise Breakfast Bars - Strawberry,1 bar (45 g),140,2g,34g,1g
FiberWise Fruit & Fiber Bars - Oatmeal Raisin,1 bar (45 g),150,3g,34g,2g
FiberWise Citrus Orange Drink Mix,2 scoops (20 g),20,0.5g,17g,0g
FiberWise Fruit & Fiber Bars - Apple Cinnamon,1 bar,140,2g,33g,1g
Fibre Rye Crispbread,3 slices (31 g),100,1.8g,12.9g,4.2g
FiberWise Harvest Peach,2 scoops (27 g),60,1g,23g,0g
Fibre Source Bars - Honey & Almond,1 bar (32 g),130,3g,23g,2g
Fibre Source Bars - Apple Cobbler,1 bar (32 g),120,2g,24g,2g
Ficelle French Bread,1/3 loaf (57 g),120,0g,30g,4g
FiberWise Berry,2 scoops  (20 g),35,0g,17g,0g
Fibrestore,1 scoop (14 g),10,0.5g,11g,1g
Fideo,1/3 cup (53 g),200,0.5g,44g,5g
Fideo,1/2 cup (56 g),210,1g,44g,6g
Fibre Packed Yogurt Bowl,1 serving,399,11g,25g,50g
FiberWise Cranberry Granola Bar,1 bar (45 g),150,3g,34g,1g
Fideo,2 oz (56 g),190,1g,42g,7g
Fideo Mediano Pasta,2 oz (56 g),210,1g,42g,7g
Fideo Loco,1 cup (8 oz),230,8g,24g,16g
Fideos Con Sabor A Pollo,2 1/2 tbsp  (25 g),90,1g,17g,3g
Field Greens,1 1/2 cups (85 g),20,0g,4g,1g
Field Fresh Chopped Salad with Grilled Chicken (without Dressing),1/2 container (152 g),170,7g,19g,10g
Field Fresh Chopped Salad with Grilled Chicken,1/2 container (152 g),240,15g,17g,10g
Field Greens,1 1/2 cups (85 g),20,0g,4g,1g
Field Fresh Chopped Salad with Chicken,1 container (303 g),310,6g,53g,17g
Field Fresh Chopped Salad with Grilled Chicken Breast (with Dressing),1/2 container (152 g),250,16g,18g,9g
Fideo,1 cup (45 g),160,3.5g,29g,5g
Field Greens,1 1/2 cups (85 g),20,0g,4g,1g
Field Peas,1/2 cup (129 g),140,1.5g,23g,9g
Field Greens Salad,1 1/2 cups (85 g),20,0g,4g,1g
Field of Greens,1 scoop (7.1 g),25,0g,4g,2g
Field Peas,1/4 cup (35 g),80,0g,22g,8g
Field Greens (Bag),1 bag,50,0g,10g,2.5g
Field Greens,3 cups (85 g),20,0g,4g,1g
Field Greens,1 serving,210,14g,19g,5g
Fideo Fino Vermicelli,1/2 cup (48 g),180,1g,37g,6g
Field Peas with Snaps,3 oz (85 g),110,0.5g,20g,7g
Field Peas with Snaps,1/2 cup  (130 g),80,0g,16g,5g
Fieldburger,1 patty (92 g),250,14g,8g,22g
Fierce Melon,1 bottle (12 oz),80,0g,21g,0g
Fierce Blue Cherry,1 bottle (12 oz),80,0g,22g,0g
Fiery Buffalo Chicken Pizza - Original Crust - Large,1 slice,330,12g,38g,16g
Fiery Buffalo Chicken Pizza - Original Crust - Extra Large,1 slice,350,13g,40g,16g
Fiery Buffalo Chicken Pizza - Epic Stuffed Crust,1 slice,390,16g,40g,20g
Fiery Buffalo Chicken Pizza - Gluten Free,1 slice,160,8g,16g,8g
Fiery Beef & Black Bean Chili,1 tray (363 g),470,21g,51g,24g
Fiery Broccoli,1 serving,35,2.5g,2g,1g
Fiery Buffalo Chicken Pizza - Original Crust - Pizza For One,1 slice,230,9g,26g,12g
Field Peas with Snaps,1/2 cup (81 g),110,1g,21g,7g
Fiery Buffalo Chicken Pizza - Original Crust - Medium,1 slice,230,9g,27g,11g
Fiery BBQ Sauce,1 serving (30 ml),80,0g,19g,0.3g
Fiery Buffalo Chicken Pizza - Thin Crust,1 slice,260,14g,20g,13g
Fiery Buffalo Nuggets - 8 Pieces,1 serving,510,38g,25g,18g
Fiery Cheezybread,1 serving,100,4g,12g,4g
Field Peas & Snaps,1/2 cup (120 g),130,1g,17g,6g
Fiery Buffalo Chicken Pizza - Original Crust - Small,1 slice,220,8g,26g,10g
Fiery Chicken Curry,1 container  (269 g),360,13g,40g,23g
Fiery Chicken Enchilada Soup - Bread Boule,1 serving (8 oz),190,10g,15g,10g
Fiery Chicken Curry,1 tray (354 g),420,18g,43g,26g
Fiery Chicken Enchilada Soup - Cup,1 serving (12 oz),290,15g,23g,15g
Fiery Jalapeño Pimento Cheese,2 tbsp (28 g),100,9g,1g,4g
Fiery Hot Snack Puffs,1 bag (26 g),130,7g,5g,12g
Fiery Mexican-Style Chicken,1 meal (494 g),450,18g,35g,36g
Fiery Chicken Curry,1 serving (285 g),340,14g,35g,21g
Fiery Chicken Enchilada Soup - Bowl,1 serving (16 oz),380,20g,30g,20g
Fiery Mocha - Large - 2% Milk,1 serving,570,19g,90g,17g
Fiery Hot Breaded Chicken Patties,1 patty (113 g),250,10g,22g,17g
Fiery Chile Lime Thins,14 crackers (30 g),110,4g,15g,2g
Fiery Mocha - Medium - 2% Milk,1 serving,470,18g,68g,15g
Fiery Mocha - Large - Whole Milk,1 serving,620,25g,91g,17g
Fiery Mocha - Large - Soy Milk,1 serving,420,8g,83g,10g
Fiery Mocha - Large - Nonfat Milk,1 serving,520,13g,91g,17g
Fiery Mocha - Large - Almond Milk,1 serving,400,8g,84g,5g
Fiery Mocha - Large - Oat Milk,1 serving,560,15g,103g,9g
Fiery Chicken Enchilada Soup - XL,1 serving (32 oz),760,40g,60g,40g
Fiery Fried Chicken Sandwich,1 serving,830,52g,59g,31g
Fiery Mocha - Medium - Nonfat Milk,1 serving,430,12g,69g,15g
Fiery Mocha - Medium - Whole Milk,1 serving,520,23g,69g,15g
Fiery Mocha - Small - 2% Milk,1 serving,410,16g,57g,12g
Fiery Mocha - Medium - Almond Milk,1 serving,310,7g,62g,4g
Fiery Mocha - Medium - Soy Milk,1 serving,330,7g,61g,9g
Fiery Mocha - Medium - Oat Milk,1 serving,450,13g,80g,7g
Fiery Royal Crispy Wrap,1 serving,390,25g,30g,15g
Fiery Mocha - Small - Whole Milk,1 serving,440,20g,58g,12g
Fiery Royal Crispy Chicken,1 serving,910,65g,59g,31.4g
Fiery Mocha - Small - Soy Milk,1 serving,270,6g,51g,7g
