Name,Serving,Calories,Fat,Carbs,Proteins
Dairy Free Vanilla Yogurt,1 container (170 g),120,2g,22g,5g
Dairy Free Yogurt Alternative Blueberry,1 container (150 g),130,3g,19g,6g
Dairy Free Yogurt Alternative Plain,3/4 cup (170 g),110,4g,10g,7g
Dairy Free Yogurt Alternative Peach Mango,1 container (150 g),120,3.5g,17g,6g
Dairy Free Tropical Twist Frozen Dessert Bar,1 bar,130,5g,21g,1g
Dairy Free Sour Cream,2 tbsp,35,3g,2g,0g
Dairy Free White Cheddar Sauce Mix,1 1/2 tsp (4 g),10,0g,3g,0g
Dairy Milk Thins,1 bar (18 g),100,5g,11g,1g
Dairy Milk Hazelnut,1 bar (6 squares) (42 g),240,14g,23g,3g
Dairy Milk Fruit & Nut (39 g),7 blocks (39 g),190,10g,23g,3g
Dairy Milk Fruit & Nut (28 g),5 blocks (28 g),140,7g,17g,2g
Dairy Milk Mint Chip Thins,1 bar (19 g),100,4.5g,12g,1g
Dairy Milk Chocolate Bar,5 blocks (28 g),150,8g,16g,2g
Dairy-Free Cheese Hot Pepper Slices,1 slice (20 g),55,4g,4g,0g
Dairy Whipped Topping,2 tbsp (5 g),15,1g,1g,0g
Dairy-Free Cheese,1 serving,60,4.5g,4g,0g
Dairy-Free Mochi,1 piece (57 g),100,4g,23g,0g
Dairy-Free Drinkable Cashewgurt Unsweetened Plain,1 cup (8 oz),140,10g,9g,4g
Dairy-Free Creamer Original Unsweetened,1 tbsp (15 g),10,1g,0g,0g
Dairy-Free Almond Based Yogurt - Blueberry,1 container (150 g),180,14g,13g,6g
Dairy-Free Clam Chowder,1 jar (375 g),300,17g,25g,12g
Dairy-Free Salmon Chowder,1 jar (375 g),280,12g,23g,19g
Dairy-Free Chicken Tikka,1 serving (408 g),380,14g,33g,30g
Dairy-Free Gelato Double Cookie Crunch,2/3 cups (127 g),330,17g,44g,2g
Dairy-Free Texas Sheet Cake,2/3 cup (108 g),330,14g,36g,3g
Dak Fully Cooked Premium Canned Ham,2 oz (56 g),100,7g,1g,9g
Daisy Cutter,1 can (12 oz),156,0g,12g,0g
Dairy-Free Yogurt Unsweetened Plain,1 cup (225 g),170,11g,14g,5g
Dakota Bread,1 slice (56 g),170,5g,24g,7g
Daisies Birthday Cake Covered Pretzels,4 pretzels (28 g),140,6g,20g,1g
Dakota Smashed Pea + Barley Soup,1 serving,170,0g,33g,11g
Dairy-Free Cheddar Shreds,1 oz (28 g),80,7g,6g,0g
Dairy-Free Cheese (1/4 cup),1 serving,80,5g,8g,1g
Dal Bukhara - Black Gram Lentils Curry,1/2 cup (125 g),150,7g,17g,6g
Dakota Wheat,1 slice (41 g),110,3g,18g,4g
Dal Makhani,1/2 can (198 g),190,6g,24g,10g
Dal Makhani,1/2 package,180,8g,20g,7g
Dal Makhani,1/2 pack (140 g),160,8g,16g,6g
Dal Makhani,1/2 cup (71 g),90,2g,16g,5g
Dal Makhani Black Lentil Curry,1/2 package (150 g),315,15g,33g,12g
Dakota Style 12 Grain Bread,1 slice (34 g),100,1.5g,18g,4g
Dal Fry,1/2 package (150 g),159,7g,18g,6g
Dal Palak,1/3 pack (100 g),107,3g,17g,3g
Dal Palak,1/2 pack (150 g),130,8g,10g,4g
Dal Rajasthani,1/2 pack (5 oz),130,6g,14g,5g
Dal Saag,1 container (312 g),300,2.5g,60g,11g
Dal Tadka,1 cup (100 g),126,4.2g,15.9g,6.2g
Dal Palak with Zeera Rice,1 pack (350 g),467,7g,85g,16g
Dal Kachori,1 piece (40 g),170,11g,16g,3g
Dale's Pale Ale,1 can (12 oz),175,0g,15g,0g
Dal Tadka,5.3 oz (150 g),150,5g,19g,7g
Dal Tadka,1/3 package (100 g),94,2g,14g,5g
Dal Mix,1/3 cup (28 g),100,3g,14g,5g
Dallas Filet - 6 oz,1 serving (6 oz),270,10g,6g,45g
Dallas Filet & Grilled Shrimp,1 serving,670,33g,36g,63g
Damak Baklava,100 g,549,33g,53g,9.3g
DanActive Immunity Probiotic Dairy Drink,1 bottle (100 ml),80,1g,14g,3g
DanActive Light Immunity Probiotic Dairy Drink,1 bottle (3.1 oz),35,0g,6g,2g
DanActive L.Casei Immunitas,1 bottle (3.1 oz),70,1g,14g,3g
Damak Dark Chocolate with Pistachios,1/2 bar (40 g),220,15g,20g,4g
Dallas Filet & Ribs,1 serving,820,49g,12g,90g
Dana’s Chicken Cheesesteak,1 serving (234 g),330,15g,9g,38g
Damson Plum Jam,1 tbsp (15 g),30,0g,7g,0g
Dan Dan Chicken Noodles,1 serving,480,18g,62g,20g
DanActive Yogurt,1 bottle (100 ml),90,1.5g,17g,3g
DanActive Light Probiotic Dairy Drink,1 bottle (93 ml),35,0g,6g,2g
DanActive Strawberry Probiotic Drink,1 bottle (3.1 oz),80,1g,14g,3g
Danactive Vanilla Probiotic Dairy Drink,1 bottle (3.1 oz),70,1g,14g,3g
Dan Dan Noodles,1 bowl (312 g),510,20g,58g,24g
Dandelion Dark Roast,1 bag (5 g),15,0g,4g,0g
Damak Fine Chocolate with Pistachios,1/2 bar (40 g),220,14g,20g,3g
Dallas Filet - 8 oz,1 serving (8 oz),360,13g,8g,60g
Dandelion Root Tea,1 tea bag,0,0g,0g,0g
Dandy Blend,1 tsp,5,0g,1g,0.1g
Danette,1 (90 g),133,4.6g,20g,2.8g
Dang 20 oz,1 serving (20 oz),520,18g,85g,12g
Danimals Drinkable Strawberry Yogurt,3.1 fl oz (93 ml),0,0g,0g,0g
Danimals Smoothies - Rockin' Raspberry,1 bottle (3.1 oz),60,0.5g,10g,2g
Danimals Smoothies - Strawberry Explosion & Berry Avalanche,1 bottle (3.1 oz),70,0.5g,15g,2g
Danimals Smoothies - Strawberry Explosion Strikin' Strawberry Kiwi,1 bottle (3.1 oz),70,0.5g,15g,2g
Dang 16 oz,1 serving (16 oz),450,18g,68g,11g
Danimals Smoothies - Strikin' Strawberry-Kiwi,1 bottle (3.1 oz),70,0.5g,15g,2g
Danimals Crush Cups Lowfat Yogurt - Strawberry Banana,1 container (4 oz),100,1.5g,17g,5g
Danimals Smoothie - Strawberry Explosion,1 bottle (3.1 oz),50,0g,11g,2g
Danino,1 serving (93 ml),80,1.5g,14g,3g
Danimals Crush Cups Lowfat Yogurt - Cherry,1 container (113 g),100,1.5g,17g,5g
Danish Aged Havarti Cheese,1 oz (28 g),120,10g,0g,6g
Danish,1 danish (78 g),280,10g,43g,3g
Danish - Apple,1 serving,460,20g,63g,7g
Danish - Cheese,1 serving,490,24g,61g,7g
Danimals Coolision,1 dual tube (62 g),60,1g,11g,2g
Danimals Strawberry Yogurt,1 container  (4 oz),60,0g,12g,4g
Danimals Smoothie - Swingin' Strawberry-Banana,1 bottle (3.1 oz),70,0.5g,15g,2g
Danish Brand Ham,2 slice (56 g),50,1.5g,1g,9g
Danish Blue Cheese,1 oz (28 g),100,8g,0g,6g
Danish Blue Cheese,1 oz (28 g),97,8.4g,0g,5.5g
Danish Butter Cookies,3 cookies (33 g),160,6g,23g,2g
Danish Blue Cheese Slice,1 slice (17 g),70,6g,0g,3g
Danish Brand Ham,2 slices (56 g),50,1.5g,1g,9g
Danish Butter Cookies,4 cookies (34 g),150,9g,22g,2g
Danish Butter Cookies,4 cookies (30 g),160,8g,19g,2g
Danish Coffee Cake - Cheese,1/8 cake (50 g),190,11g,21g,3g
Danish Cheese & Berries,1 danish (85 g),250,7g,43g,5g
Danish Butter Cookies,4 cookies (34 g),170,8g,22g,2g
Danish Butter Cookies,4 cookies (30 g),140,7g,17g,2g
Danish Butter Cookies,4 cookies (34 g),170,8g,23g,2g
Danish Butter Cookies,4 cookies (30 g),150,7g,19g,2g
Danish Pancakes,2 pancakes (56 g),170,9g,17g,3g
Danish Havarti Cheese,1 oz (28 g),110,10g,0g,6g
Danish Pastry Cherry Cheese,1 pastry (57 g),230,10g,32g,3g
Danish Havarti,2 slices (28 g),110,9g,0g,6g
Danish Pastry Apple Cinnamon,1 pastry (57 g),200,8g,29g,2g
Danish Princess Pastry,1/3 pastry (113 g),440,26g,46g,4g
Danish Wedding Cookies,5 cookies (32 g),160,8g,22g,1g
Danish Style Butter Cookies,4 cookies (31 g),160,7g,21g,2g
D'anjou Pear,1 medium pear (6.3 oz),110,0g,27g,0g
Danish Style Butter Cookie Creamer,1 tbsp (15 g),30,1g,5g,0g
Danish-Style Wildberry Pancake Bites,2 pieces (56 g),160,8g,20g,3g
Danish White,1 oz (28 g),80,7g,0g,3g
Dan-O-Nino Strawberry Dairy Snack,1 snack (50 g),60,2g,7g,3g
Dare Iced Coffee,1/2 bottle (250 ml),213,9.3g,23.5g,8.3g
Danny's Favorite Sub,1 sub (388 g),690,25g,76g,38g
D'Anjou Pears,1 medium (166 g),100,0g,25g,1g
Darjeeling Tea,1 bag (2 g),1,0g,0g,0g
Dankful IPA,1 can (12 oz),220,0g,17g,2.4g
Danonino,1 serving,50,2g,7g,3g
Dari Whip,2 tbsp (6 g),15,1.5g,1g,0g
Dark Amber Maple Syrup,1/4 cup (60 ml),210,0g,53g,0g
Dark Almond Chocolate Bar,1 bar (42.5 g),210,14g,25g,2g
Dark Almond Organic Chocolate,5 sections (40 g),220,16g,19g,3g
Dark 85% Cocoa (2),2 pieces (50 g),320,25g,18g,6g
Dark 70% Cocoa,1 bar (25 g),150,10g,11g,2g
Dark & Sea Salt Caramel Squares,1 square (15 g),70,4g,9g,1g
Dark Amber Maple Syrup,2 tbsp (30 ml),110,0g,27g,0g
Dark Beer,1 bottle (12 oz),146,0g,11g,1.7g
Dark Bark Toasted Coconut,1.4 oz (40 g),230,15g,19g,4g
Dark Bark Pumpkin Seed,1/2 cup (29 g),160,12g,13g,4g
Dark Bread,2 slices (38 g),80,0.5g,16g,3g
Dark Brown Sugar,2 tsp (8 g),30,0g,8g,0g
Dark Brown Sugar,1 tsp (4 g),15,0g,4g,0g
Dark Belgian Chocolate Covered Almonds,1/4 cup (40 g),240,18g,17g,5g
Dark Blackout Chocolate,5 sections (40 g),240,21g,14g,3g
Dark Bar,1 bar (51.9 g),250,12g,31g,5g
Dark Belgian Chocolate Probiotic,5 pieces (30 g),140,12g,15g,3g
Dark Berry Protein,4 tablespoons (25 g),90,1.5g,5g,16g
Dark Brown Sugar,1 tsp (4 g),15,0g,4g,0g
Dark Brown Sugar,1 tsp (4 g),15,0g,4g,0g
Dark Brown Sugar,1 tsp (4 g),15,0g,4g,0g
Dark Brown Sugar,1 tsp (4 g),15,0g,4g,0g
Dark Brown Sugar,1 tsp (4 g),15,0g,4g,0g
Dark Brown Sugar,1 tsp (4 g),15,0g,4g,0g
Dark Beer,1 bottle (12 oz),165,0g,14g,0g
Dark Bark Sea Salt & Almond,1/2 cup (29 g),160,12g,13g,3g
Dark California Brittle,1 piece  (22 g),130,9g,11g,1g
Dark Brown Sugar,2 tsp (8 g),30,0g,8g,0g
Dark Butterscotch Squares,2 pieces (37 g),190,10g,26g,1g
Dark Chocolate,6 pieces (38 g),210,14g,17g,3g
Dark Chili Powder,1/4 tsp (0.5 g),0,0g,0g,0g
Dark Chicken (Regular Bowl),1 serving,210,10.7g,0g,25.7g
Dark Cacao Macaroons,1 cookie (19 g),100,8g,8g,1g
Dark Chocolate,1 bar (37 g),190,11g,23g,2g
Dark Cherry & Greek Yogurt Danish,1 serving,360,18g,42g,7g
Dark Cherry Balsamico Artisan Vinegar,1 tbsp (15 ml),30,0g,7g,0g
Dark Cherry Chunk Light Ice Cream,2/3 cup (109 g),180,8g,27g,8g
Dark Chocolate,1/2 bar (43 g),200,14g,24g,2g
Dark Chocolate,1 bar (38 g),206,12g,23g,2g
Dark Brown Sugar,1 tsp (4 g),15,0g,4g,0g
Dark Cherry Balsamic Vinaigrette,2 tbsp (33 g),110,9g,8g,0g
Dark Chocolate,7.5 pieces (40 g),200,12g,21g,2g
Dark Chocolate,1/2 bar (40 g),160,15g,22g,2g
Dark Chili,1 bar (25 g),140,9g,14g,2g
Dark Chocolate,2 pieces (25 g),130,7g,16g,1g
Dark Chocolate,2 pieces (29 g),160,11g,13g,3g
Dark Chocolate,1/2 bar (50 g),250,12g,33g,3g
Dark Chocolate,4 blocks (43 g),220,15g,25g,2g
Dark Chocolate,6 pieces (40 g),190,10g,23g,3g
Dark Chocolate,6 pieces (40 g),220,14g,21g,3g
Dark Chocolate,2 scoops (28 g),100,2.5g,3g,20g
Dark Chocolate,5 pieces (28 g),150,9g,15g,2g
Dark Chocolate,8 pieces (40 g),210,15g,13g,3g
Dark Chocolate,3 blocks (30 g),170,11g,13g,3g
Dark Chocolate,3 squares (20 g),120,10g,3g,2g
Dark Chocolate,2 pieces (25 g),140,10g,11g,2g
Dark Chocolate,1 bar (100 g),524,32g,52g,4.9g
Dark Chocolate & Almonds,4 pieces (31 g),170,11g,17g,2g
Dark Chocolate,2 cookies (29 g),140,6g,20g,1g
Dark Chocolate & Cherry,1 bar (40 g),160,6g,26g,3g
Dark Chocolate & Berries Trail Mix,3 tbsp (28 g),140,9g,13g,4g
Dark Chocolate,6 pieces (30 g),180,13g,14g,2g
Dark Chocolate,1 bar  (45 g),220,13g,23g,3g
Dark Chocolate & Almond Toffee Wafers,1 wafer (23 g),130,9g,11g,2g
Dark Chocolate,5 pieces (35 g),190,10g,21g,2g
Dark Chocolate,100 g,557,33.7g,57.3g,6g
Dark Chocolate & Coconut Eggs,1 piece (21 g),100,5g,13g,1g
Dark Chocolate & Mint Morsels,1 tbsp (14 g),70,4.5g,9g,0g
Dark Chocolate & Oats Granola Cookies,1 cookie (30 g),130,5g,20g,2g
Dark Chocolate & Raspberry Cream Pumpkin,1 pumpkin (28 g),110,3.5g,20g,1g
Dark Chocolate (No Sugar Added),1 bar,150,10g,13g,2g
Dark Chocolate + Fig,1 bar (45 g),170,4.5g,23g,10g
Dark Chocolate & Sea Salt Nut Bar,1 bar (40 g),190,14g,16g,6g
Dark Chocolate & Roasted Peanuts Bark,1/3 pack (34 g),180,14g,15g,4g
Dark Chocolate & Sea Salt Granola,1/2 cup (30 g),140,5g,20g,3g
Dark Chocolate + Peanut Butter,1 bar (1.8 oz),230,16g,16g,7g
Dark Chocolate & Nuts,1 bar (30 g),140,5g,21g,3g
Dark Chocolate 56%,1 bar (1 oz),160,10g,13g,2g
Dark Chocolate & Mint Swirl,4 pieces (32 g),170,11g,19g,2g
Dark Chocolate 60% Cacao,1 piece (11 g),50,4g,6g,1g
Dark Chocolate 50% Cocoa,6 pieces (36 g),200,12g,22g,2g
Dark Chocolate 68% Cacao,1/2 bar (43 g),250,16g,22g,3g
Dark Chocolate + Hazelnut,2 bites (39 g),200,16g,11g,10g
Dark Chocolate 59% Cacao,1 bar (56 g),270,20g,30g,3g
Dark Chocolate + Sea Salt,1 oz (28 g),120,6g,19g,2g
Dark Chocolate 50%,5 pieces (31 g),160,10g,18g,2g
Dark Chocolate 72% Cocoa,1/2 bar (43 g),220,19g,20g,3g
Dark Chocolate 72% Cacao,1/2 bar (43 g),220,19g,20g,3g
Dark Chocolate 74% Cocoa,4 squares (40 g),250,18g,17g,4g
Dark Chocolate 72% Cacao,1/2 bar (43 g),220,19g,19g,4g
Dark Chocolate Acai with Blueberry,12 pieces (30 g),130,5g,22g,1g
Dark Chocolate 85%,1 bar (50 g),270,18g,28g,3g
Dark Chocolate Acai with Blueberry (15g),1 package (15 g),65,2.5g,11g,0g
Dark Chocolate 78% Cacao,4 squares (40 g),220,19g,15g,4g
Dark Chocolate 99% Cacao,1/2 bar (43 g),210,22g,14g,5g
Dark Chocolate 85% Cacao,4 pieces (27 g),160,12g,10g,3g
Dark Chocolate Acai with Blueberry (23g),1 package (23 g),100,4.5g,16g,0g
Dark Chocolate 85% Cocoa,3 squares (30 g),190,16g,11g,2g
Dark Chocolate 85% Cacao,8 squares (30 g),190,16g,10g,3g
Dark Chocolate Almond,11 pieces (31 g),130,12g,15g,3g
Dark Chocolate Almond,6 blocks (45 g),230,19g,20g,5g
Dark Chocolate Almond,1 bar (62 g),310,18g,25g,12g
Dark Chocolate Almond,1 bar (40 g),160,7g,16g,13g
Dark Chocolate 85% Cacao,11 pieces (42 g),260,22g,14g,4g
Dark Chocolate After Dinner Thin Mints,4 mints (40 g),170,8g,25g,1g
Dark Chocolate Almond,10 sections (42 g),210,15g,22g,3g
Dark Chocolate Almond Bark Thins,3x3 piece (1.5 oz),190,8g,27g,2g
Dark Chocolate Almond & Salted Caramel Bark,1/3 pack (4 squares) (34 g),180,13g,16g,4g
Dark Chocolate Almond Bar,1 bar (28 g),120,11g,13g,2g
Dark Chocolate Almond Biscotti,1 serving (24 g),110,4g,17g,2g
Dark Chocolate Almond Biscotti,1 biscotti (24 g),110,4g,17g,2g
Dark Chocolate Almond Butter,2 tbsp (32 g),190,15g,10g,6g
Dark Chocolate Almond,1 bar (55 g),190,10g,25g,13g
Dark Chocolate Almond Butter,2 tbsp (32 g),170,14g,8g,5g
Dark Chocolate Almond & Sea Salt Bark,5 1x1 pieces (1 oz),150,11g,13g,3g
Dark Chocolate Almond Butter,2 tbsp (31 g),170,14g,8g,5g
Dark Chocolate Almond Butter,2 tbsp  (32 g),190,16g,9g,5g
Dark Chocolate Almond Butter Cups,3 pieces (36 g),190,13g,19g,3g
Dark Chocolate Almond Cherry Clusters,2 pieces (33 g),180,11g,16g,3g
Dark Chocolate Almond Bar,1 bar (50 g),200,8g,22g,12g
Dark Chocolate Almond Cereal,2/3 cup (55 g),240,10g,36g,6g
Dark Chocolate Almond Butter Cups,1 piece  (14 g),80,5g,7g,1g
Dark Chocolate Almond Butter Filled Pretzel Nuggets,4 pieces (31 g),160,8g,19g,3g
Dark Chocolate Almond Butter Cups,1 package (3 pieces) (34 g),190,13g,17g,3g
Dark Chocolate Almond Butter Cups,1 piece (15 g),80,6g,8g,1g
Dark Chocolate Almond Butter Cups,3 pieces (36 g),190,13g,19g,3g
Dark Chocolate Almond Coconut Instant Oatmeal,1 packet (35 g),140,2g,27g,3g
Dark Chocolate Almond Granola,2/3 cup (62 g),260,8g,45g,6g
Dark Chocolate Almond Coconut,1 bar (1.4 oz),220,15g,15g,5g
Dark Chocolate Almond Laceys,1 cookie  (28 g),140,10g,14g,2g
Dark Chocolate Almond Lacey,1 cookie (28 g),150,10g,13g,2g
Dark Chocolate Almond Granola Bar,1 bar,150,4g,25g,3g
Dark Chocolate Almond Protein Bar,1 bar (72 g),290,8g,25g,30g
Dark Chocolate Almond Coconut Bar,1 bar (40 g),180,13g,20g,3g
Dark Chocolate Almond Sea Salt,1 bar (45 g),230,15g,15g,10g
Dark Chocolate Almond Granola Cereal,1/2 cup (55 g),240,9g,34g,6g
Dark Chocolate Almond Sea Salt,1/6 bar (30 g),160,10g,15g,2g
Dark Chocolate Almond Granola,1/3 cup (30 g),130,7g,10g,7g
Dark Chocolate Almond Toffee,1.4 oz (40 g),220,14g,21g,3g
Dark Chocolate Almond Toffee,1 bag (57 g),310,19g,33g,2g
Dark Chocolate Almond with Sea Salt,1.1 oz (31 g),160,12g,15g,3g
Dark Chocolate Almond Snack Bar,1 bar (40 g),160,7g,17g,11g
Dark Chocolate Almonds,5 pieces (30 g),170,11g,17g,2g
Dark Chocolate Almond with Sea Salt Bark Crisps,1 ounce (28 g),150,12g,13g,3g
Dark Chocolate Almond Collagen Fuel Bar,1 bar (48 g),200,12g,14g,15g
Dark Chocolate Almond Granola,2/3 cup (58 g),330,27g,21g,8g
Dark Chocolate Almonds,1/4 cup (30 g),180,12g,14g,3g
Dark Chocolate Almonds,6 pieces (30 g),150,11g,15g,3g
Dark Chocolate Almonds,1 bag (28 g),140,10g,14g,2g
Dark Chocolate Almonds,8 almonds,160,12g,14g,3g
Dark Chocolate Almonds,10 pieces (30 g),170,13g,12g,3g
Dark Chocolate Almonds,1 serving (30 g),150,11g,15g,3g
Dark Chocolate Almonds,1/4 cup (40 g),210,16g,19g,4g
Dark Chocolate Almonds,12 pieces (30 g),160,13g,11g,3g
Dark Chocolate Almonds,1/4 cup (30 g),150,11g,15g,3g
Dark Chocolate Almonds,9 pieces,170,12g,14g,3g
Dark Chocolate Almonds,11 pieces (31 g),170,13g,14g,3g
Dark Chocolate Almonds,1 serving,210,16g,17g,5g
Dark Chocolate Almonds,1/4 cup (40 g),230,17g,17g,5g
Dark Chocolate Almonds,1/4 cup (38 g),210,17g,15g,4g
Dark Chocolate Almonds,1 package (57 g),300,23g,26g,6g
Dark Chocolate Almonds,31 nuts (1 oz),180,14g,6g,7g
Dark Chocolate Almonds,1 package (28 g),150,12g,12g,3g
Dark Chocolate Almonds,15 pieces (32 g),170,13g,13g,4g
Dark Chocolate Almonds (1 oz),1 package (28 g),160,12g,12g,3g
Dark Chocolate Almonds (56g),1 package  (56 g),300,24g,24g,6g
Dark Chocolate Americano - 12 oz,1 serving (12 oz),170,4g,32g,3g
Dark Chocolate Almonds with Sea Salt & Turbinado Sugar,7 pieces (30 g),160,12g,13g,3g
Dark Chocolate Americano - 20 oz,1 serving (20 oz),330,8g,64g,6g
Dark Chocolate and Raisins,28 pieces (40 g),170,8g,27g,2g
Dark Chocolate Apricots,4 pieces (40 g),163,7g,26g,1.4g
Dark Chocolate Assortment,4 pieces (40 g),190,11g,22g,2g
Dark Chocolate Almonds with Pea Protein,15 pieces (32 g),170,13g,10g,7g
Dark Chocolate Almonds Butter Toffee,1 serving (1 oz),150,8g,17g,2g
Dark Chocolate Apricots,3 pieces (32 g),120,6g,19g,1g
Dark Chocolate and Red Berries Granola,1/4 cup (30 g),130,5g,20g,2g
Dark Chocolate and Peanut Butter Granola,1/4 cup (30 g),150,5g,18g,4g
Dark Chocolate Artisan Cereal,1/2 cup (36 g),110,6g,14g,11g
Dark Chocolate Americano - 16 oz,1 serving (16 oz),250,6g,48g,5g
Dark Chocolate Baking Bar,1 piece (14 g),60,5g,8g,1g
Dark Chocolate Baking Chips,1/2 oz (14 g),50,5g,8g,1g
Dark Chocolate Baking Chips Stevia Sweetened 55% Cocoa,60 chips (14 g),50,4g,8g,1g
Dark Chocolate Balls,5 pieces (31 g),150,10g,19g,2g
Dark Chocolate Baking Chips,60 chips (14 g),50,4.5g,8g,1g
Dark Chocolate Assortment,2 pieces (34 g),150,8g,19g,2g
Dark Chocolate Baking Chips with Stevia & Erythritol,60 chips (14 g),50,4.5g,6g,1g
Dark Chocolate Bananas,12 pieces (1.4 oz),167,11g,22g,2g
Dark Chocolate Banana Chips,1/4 cup,200,12g,25g,1g
Dark Chocolate Banana Chips,1/4 cup (30 g),160,10g,17g,1g
Dark Chocolate Banana Ice Cream,1 serving,107,1.5g,25.8g,3.1g
Dark Chocolate Bar,1 bar,240,20g,24g,3g
Dark Chocolate Bar,1 bar (40 g),220,13g,24g,2g
Dark Chocolate Bar,10 pieces (33 g),170,10g,19g,2g
Dark Chocolate Balsamic Vinegar,1 tbsp (15 ml),45,0g,11g,0g
Dark Chocolate Banana Babies,1 piece (65 g),140,5g,21g,1g
Dark Chocolate Bar,1 bar (50 g),270,18g,25g,3g
Dark Chocolate Bar,1 bar (45 g),220,15g,26g,2g
Dark Chocolate Bar,1 bar (42 g),230,14g,24g,2g
Dark Chocolate Bar - Toffee with Walnuts & Pecans,4 squares (43 g),250,17g,21g,3g
Dark Chocolate Bar - Coconut Caramel,4 squares (43 g),220,13g,24g,2g
Dark Chocolate Bar,1 bar (28 g),110,10g,15g,2g
Dark Chocolate Bar with Caramel & Sea Salt,3 pieces (30 g),160,10g,16g,2g
Dark Chocolate Bark,1 oz (30 g),150,9g,17g,2g
Dark Chocolate Bar - Caramel with Black Sea Salt,4 squares (43 g),210,14g,21g,2g
Dark Chocolate Bar,1 bar (57 g),280,19g,33g,3g
Dark Chocolate Bar,1 package  (32 g),160,12g,17g,2g
Dark Chocolate Bark with Mango,1/2 bar (43 g),200,12g,27g,2g
Dark Chocolate Baton Espresso,1 bar (35 g),200,13g,19g,3g
Dark Chocolate Bark Almond Sea Salt,1 serving (40 g),220,14g,21g,3g
Dark Chocolate Baton 72% Cacao,1 bar (35 g),190,11g,21g,3g
Dark Chocolate Baton Raspberry,1 bar (35 g),190,10g,22g,3g
Dark Chocolate Blueberries,1 1/2 oz (42 g),170,6g,29g,1g
Dark Chocolate Biscuit,2 biscuits (25 g),130,6g,17g,2g
Dark Chocolate Bars,1 bar (34 g),180,13g,12g,5g
Dark Chocolate Blood Orange,4 blocks  (40 g),190,12g,25g,2g
Dark Chocolate Bites,3 bites (38 g),160,12g,17g,2g
Dark Chocolate Blueberry,1/4 cup (46 g),230,14g,23g,2g
Dark Chocolate Bear Claws,1 piece (57 g),240,17g,22g,2g
Dark Chocolate Bite,1 piece (13.5 g),70,5g,8g,0.5g
Dark Chocolate Bites,3 bites (34 g),180,13g,12g,5g
Dark Chocolate Blueberry Squares,1 square (15 g),70,4g,10g,0g
Dark Chocolate Blueberry Snack,1 serving (40 g),180,7g,29g,1g
Dark Chocolate Blueberry Almond with Acai Flavor,1/2 bar (45 g),220,15g,26g,3g
Dark Chocolate Bourbon Caramel,1 square (15 g),70,4.5g,9g,1g
Dark Chocolate Blueberry Acai,9 pieces (30 g),120,4.5g,22g,0g
Dark Chocolate Blueberry with Quinoa Crunch,1.4 oz (40 g),190,8g,27g,2g
Dark Chocolate Brownie Mix,2 brownie (32 g),140,3.5g,25g,1g
Dark Chocolate Brazil Nuts,5 pieces (40 g),219,20g,14g,6g
Dark Chocolate Brownie Protein Bites,1 bag (48 g),210,11g,20g,10g
Dark Chocolate Bourbon Caramel,1 bar (57 g),290,17g,30g,3g
Dark Chocolate Brownie Protein Bar,1 bar (45 g),190,9g,20g,15g
Dark Chocolate Brownie Mix,1 serving as prepared (32 g),170,8g,26g,2g
Dark Chocolate Candy Cane Truffles,4 pieces (38 g),200,13g,22g,2g
Dark Chocolate Calcium Supplement,1 disk (7 g),30,2g,3g,0g
Dark Chocolate Candy,2 squares  (24 g),110,11g,11g,2g
Dark Chocolate Candy Coated Pieces,32 pieces (30 g),120,9g,18g,2g
Dark Chocolate Caramel Crunch Bananas,3 pieces (32 g),90,5g,13g,1g
Dark Chocolate Caramel Wedges,2 pieces (13 g),60,4g,7g,1g
Dark Chocolate Caramel with Black Sea Salt,4 squares (43 g),210,14g,21g,2g
Dark Chocolate Caramel Caps with Sea Salt,2 pieces (34 g),160,7g,23g,1g
Dark Chocolate Caramel Cups,1 package (3 pieces) (34 g),160,9g,20g,1g
Dark Chocolate Cacao Nibs,1 tbsp (15 g),80,7g,7g,1g
Dark Chocolate Caramel with Sea Salt,1 bar (23 g),100,6g,13g,1g
Dark Chocolate Caramel Peanut Nougat Bar,1 bar (19 g),90,4.5g,11g,2g
Dark Chocolate Caramel,12 pieces (40 g),220,14g,23g,2g
Dark Chocolate Caramel Espresso Ice Cream,1/2 cup (66 g),150,7g,20g,2g
Dark Chocolate Caramels with Sea Salt,1 piece (23 g),100,5g,14g,1g
Dark Chocolate Cashew Almond,1 package (40 g),210,14g,17g,5g
Dark Chocolate Cashew Butter Cups,2 cups (40 g),230,15g,21g,3g
Dark Chocolate Cherries,11 pieces (40 g),180,10g,26g,2g
Dark Chocolate Cashews,5 pieces (40 g),212,15g,17g,5g
Dark Chocolate Cheesecake Cookies,1 cookie,160,8g,19g,2g
Dark Chocolate Cherry Bar,1 bar,140,6g,16g,5g
Dark Chocolate Caramels with Sea Salt,1 piece (24 g),100,6g,13g,1g
Dark Chocolate Cashew Cherry,1 bar (40 g),190,11g,23g,4g
Dark Chocolate Cherry,1 bar (65 g),260,9g,37g,10g
Dark Chocolate Cherry,1 serving (117 g),320,15g,44g,5g
Dark Chocolate Cashew Butter Granola,1/4 cup (52 g),240,10g,34g,5g
Dark Chocolate Cherry,1 bar (57 g),230,11g,32g,5g
Dark Chocolate Cherry,1 pouch (75 g),280,6g,39g,20g
